source,listing_id,title,location,property_type,bedrooms,bathrooms,size_sqft,price_kes,amenities,listing_url,scrape_date
BuyRentKenya,b635201147,Property,Nairobi,Unknown,,,,5800000,,,2026-02-19
BuyRentKenya,b635201147,Property,Nairobi,Unknown,,,,5800000,,,2026-02-19
BuyRentKenya,0a2dad59e9,Property,Nairobi,Unknown,,,,17500000,,,2026-02-19
BuyRentKenya,0a2dad59e9,Property,Nairobi,Unknown,,,,17500000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,9adf7c7f07,Property,Nairobi,Unknown,,,,10300000,,,2026-02-19
BuyRentKenya,9adf7c7f07,Property,Nairobi,Unknown,,,,10300000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,7bdc279289,Property,Nairobi,Unknown,,,,6100000,,,2026-02-19
BuyRentKenya,7bdc279289,Property,Nairobi,Unknown,,,,6100000,,,2026-02-19
BuyRentKenya,664c211bf2,Property,Nairobi,Unknown,,,,8500000,,,2026-02-19
BuyRentKenya,664c211bf2,Property,Nairobi,Unknown,,,,8500000,,,2026-02-19
BuyRentKenya,89a2c0cd86,Property,Nairobi,Unknown,,,,25300000,,,2026-02-19
BuyRentKenya,89a2c0cd86,Property,Nairobi,Unknown,,,,25300000,,,2026-02-19
BuyRentKenya,354347e742,Property,Nairobi,Unknown,,,,13700000,,,2026-02-19
BuyRentKenya,354347e742,Property,Nairobi,Unknown,,,,13700000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,905e6af647,Property,Nairobi,Unknown,,,,4900000,,,2026-02-19
BuyRentKenya,905e6af647,Property,Nairobi,Unknown,,,,4900000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,23a098f6e3,Property,Nairobi,Unknown,,,,5000000,,,2026-02-19
BuyRentKenya,23a098f6e3,Property,Nairobi,Unknown,,,,5000000,,,2026-02-19
BuyRentKenya,bbc3125665,Property,Nairobi,Unknown,,,,21700000,,,2026-02-19
BuyRentKenya,bbc3125665,Property,Nairobi,Unknown,,,,21700000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,f11e83617c,Property,Nairobi,Unknown,,,,6500000,,,2026-02-19
BuyRentKenya,f11e83617c,Property,Nairobi,Unknown,,,,6500000,,,2026-02-19
BuyRentKenya,d4fc28c160,Property,Nairobi,Unknown,,,,9700000,,,2026-02-19
BuyRentKenya,d4fc28c160,Property,Nairobi,Unknown,,,,9700000,,,2026-02-19
BuyRentKenya,213ca38423,Property,Nairobi,Unknown,,,,18000000,,,2026-02-19
BuyRentKenya,213ca38423,Property,Nairobi,Unknown,,,,18000000,,,2026-02-19
BuyRentKenya,2d107f8196,Property,Nairobi,Unknown,,,,9500000,,,2026-02-19
BuyRentKenya,2d107f8196,Property,Nairobi,Unknown,,,,9500000,,,2026-02-19
BuyRentKenya,ce1d500b62,Property,Nairobi,Unknown,,,,12500000,,,2026-02-19
BuyRentKenya,ce1d500b62,Property,Nairobi,Unknown,,,,12500000,,,2026-02-19
BuyRentKenya,b635201147,Property,Nairobi,Unknown,,,,5800000,,,2026-02-19
BuyRentKenya,b635201147,Property,Nairobi,Unknown,,,,5800000,,,2026-02-19
BuyRentKenya,0a2dad59e9,Property,Nairobi,Unknown,,,,17500000,,,2026-02-19
BuyRentKenya,0a2dad59e9,Property,Nairobi,Unknown,,,,17500000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,9adf7c7f07,Property,Nairobi,Unknown,,,,10300000,,,2026-02-19
BuyRentKenya,9adf7c7f07,Property,Nairobi,Unknown,,,,10300000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,afa6c5754a,Property,Nairobi,Unknown,,,,4000000,,,2026-02-19
BuyRentKenya,7bdc279289,Property,Nairobi,Unknown,,,,6100000,,,2026-02-19
BuyRentKenya,7bdc279289,Property,Nairobi,Unknown,,,,6100000,,,2026-02-19
BuyRentKenya,664c211bf2,Property,Nairobi,Unknown,,,,8500000,,,2026-02-19
BuyRentKenya,664c211bf2,Property,Nairobi,Unknown,,,,8500000,,,2026-02-19
BuyRentKenya,89a2c0cd86,Property,Nairobi,Unknown,,,,25300000,,,2026-02-19
BuyRentKenya,89a2c0cd86,Property,Nairobi,Unknown,,,,25300000,,,2026-02-19
BuyRentKenya,354347e742,Property,Nairobi,Unknown,,,,13700000,,,2026-02-19
BuyRentKenya,354347e742,Property,Nairobi,Unknown,,,,13700000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,905e6af647,Property,Nairobi,Unknown,,,,4900000,,,2026-02-19
BuyRentKenya,905e6af647,Property,Nairobi,Unknown,,,,4900000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,1ca69f1488,Property,Nairobi,Unknown,,,,13000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,d0e1f05fc5,Property,Nairobi,Unknown,,,,9000000,,,2026-02-19
BuyRentKenya,23a098f6e3,Property,Nairobi,Unknown,,,,5000000,,,2026-02-19
BuyRentKenya,23a098f6e3,Property,Nairobi,Unknown,,,,5000000,,,2026-02-19
BuyRentKenya,bbc3125665,Property,Nairobi,Unknown,,,,21700000,,,2026-02-19
BuyRentKenya,bbc3125665,Property,Nairobi,Unknown,,,,21700000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,23dc7b9655,Property,Nairobi,Unknown,,,,6000000,,,2026-02-19
BuyRentKenya,f11e83617c,Property,Nairobi,Unknown,,,,6500000,,,2026-02-19
BuyRentKenya,f11e83617c,Property,Nairobi,Unknown,,,,6500000,,,2026-02-19
BuyRentKenya,d4fc28c160,Property,Nairobi,Unknown,,,,9700000,,,2026-02-19
BuyRentKenya,d4fc28c160,Property,Nairobi,Unknown,,,,9700000,,,2026-02-19
BuyRentKenya,213ca38423,Property,Nairobi,Unknown,,,,18000000,,,2026-02-19
BuyRentKenya,213ca38423,Property,Nairobi,Unknown,,,,18000000,,,2026-02-19
BuyRentKenya,2d107f8196,Property,Nairobi,Unknown,,,,9500000,,,2026-02-19
BuyRentKenya,2d107f8196,Property,Nairobi,Unknown,,,,9500000,,,2026-02-19
BuyRentKenya,ce1d500b62,Property,Nairobi,Unknown,,,,12500000,,,2026-02-19
BuyRentKenya,ce1d500b62,Property,Nairobi,Unknown,,,,12500000,,,2026-02-19
BuyRentKenya,b635201147,Property,Nairobi,Unknown,,,,5800000,,,2026-02-19
BuyRentKenya,b635201147,Property,Nairobi,Unknown,,,,5800000,,,2026-02-19
BuyRentKenya,0a2dad59e9,Property,Nairobi,Unknown,,,,17500000,,,2026-02-19
