source,location,property_type,bedrooms,bathrooms,size_sqft,price_kes,title,listing_date,pid
BuyRentKenya,Nairobi,Unknown,,,,17500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,17500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7820000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7820000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7150000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7150000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,12800000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,12800000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,12500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,12500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,8500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,8500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,10000000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,10000000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13000000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13000000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7600000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7600000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,10600000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,10600000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13600000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13600000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,5300000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,5300000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,11200000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,11200000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,18500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,18500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,13500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,12500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,12500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6800000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6800000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,15000000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,15000000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,7500000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6230000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,6230000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,5300000,,2026-02-18,
BuyRentKenya,Nairobi,Unknown,,,,5300000,,2026-02-18,
PropertyPro,Nairobi,Unknown,,,,10497669,,2026-02-18,
PropertyPro,Nairobi,Unknown,,,,1000000000,,2026-02-18,
PropertyPro,Nairobi,Unknown,,,,20000,,2026-02-18,
PropertyPro,Nairobi,Unknown,2.0,2.0,,3500,,2026-02-18,8ADSV
PropertyPro,Nairobi,Unknown,2.0,2.0,,8500000,,2026-02-18,0ADSQ
PropertyPro,Nairobi,Unknown,2.0,2.0,,5000000,,2026-02-18,7ADSC
PropertyPro,Nairobi,Unknown,4.0,4.0,,4200000,,2026-02-18,3ADRW
PropertyPro,Nairobi,Unknown,4.0,2.0,,13000000,,2026-02-18,6ADRN
PropertyPro,Nairobi,Unknown,2.0,2.0,,5000000,,2026-02-18,0ADRK
