source,listing_id,title,location,property_type,bedrooms,bathrooms,size_sqft,price_kes,amenities,listing_url,scrape_date
BuyRentKenya,60d5a58db3,No title,Nairobi,Unknown,,,,17500000,,,2026-02-18
BuyRentKenya,60d5a58db3,No title,Nairobi,Unknown,,,,17500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,a147423fba,No title,Nairobi,Unknown,,,,7950000,,,2026-02-18
BuyRentKenya,a147423fba,No title,Nairobi,Unknown,,,,7950000,,,2026-02-18
BuyRentKenya,91f4c8999d,No title,Nairobi,Unknown,,,,85000000,,,2026-02-18
BuyRentKenya,91f4c8999d,No title,Nairobi,Unknown,,,,85000000,,,2026-02-18
BuyRentKenya,5ef79ec1eb,No title,Nairobi,Unknown,,,,12550000,,,2026-02-18
BuyRentKenya,5ef79ec1eb,No title,Nairobi,Unknown,,,,12550000,,,2026-02-18
BuyRentKenya,fe07d2efbc,No title,Nairobi,Unknown,,,,95000000,,,2026-02-18
BuyRentKenya,fe07d2efbc,No title,Nairobi,Unknown,,,,95000000,,,2026-02-18
BuyRentKenya,8d0245555a,No title,Nairobi,Unknown,,,,110000000,,,2026-02-18
BuyRentKenya,8d0245555a,No title,Nairobi,Unknown,,,,110000000,,,2026-02-18
BuyRentKenya,ec7cd27a91,No title,Nairobi,Unknown,,,,113000000,,,2026-02-18
BuyRentKenya,ec7cd27a91,No title,Nairobi,Unknown,,,,113000000,,,2026-02-18
BuyRentKenya,b8f429e126,No title,Nairobi,Unknown,,,,130000000,,,2026-02-18
BuyRentKenya,60d5a58db3,No title,Nairobi,Unknown,,,,17500000,,,2026-02-18
BuyRentKenya,60d5a58db3,No title,Nairobi,Unknown,,,,17500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,a147423fba,No title,Nairobi,Unknown,,,,7950000,,,2026-02-18
BuyRentKenya,a147423fba,No title,Nairobi,Unknown,,,,7950000,,,2026-02-18
BuyRentKenya,91f4c8999d,No title,Nairobi,Unknown,,,,85000000,,,2026-02-18
BuyRentKenya,91f4c8999d,No title,Nairobi,Unknown,,,,85000000,,,2026-02-18
BuyRentKenya,5ef79ec1eb,No title,Nairobi,Unknown,,,,12550000,,,2026-02-18
BuyRentKenya,5ef79ec1eb,No title,Nairobi,Unknown,,,,12550000,,,2026-02-18
BuyRentKenya,fe07d2efbc,No title,Nairobi,Unknown,,,,95000000,,,2026-02-18
BuyRentKenya,fe07d2efbc,No title,Nairobi,Unknown,,,,95000000,,,2026-02-18
BuyRentKenya,8d0245555a,No title,Nairobi,Unknown,,,,110000000,,,2026-02-18
BuyRentKenya,8d0245555a,No title,Nairobi,Unknown,,,,110000000,,,2026-02-18
BuyRentKenya,ec7cd27a91,No title,Nairobi,Unknown,,,,113000000,,,2026-02-18
BuyRentKenya,ec7cd27a91,No title,Nairobi,Unknown,,,,113000000,,,2026-02-18
BuyRentKenya,b8f429e126,No title,Nairobi,Unknown,,,,130000000,,,2026-02-18
BuyRentKenya,60d5a58db3,No title,Nairobi,Unknown,,,,17500000,,,2026-02-18
BuyRentKenya,60d5a58db3,No title,Nairobi,Unknown,,,,17500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,8491fa4037,No title,Nairobi,Unknown,,,,13500000,,,2026-02-18
BuyRentKenya,a147423fba,No title,Nairobi,Unknown,,,,7950000,,,2026-02-18
BuyRentKenya,a147423fba,No title,Nairobi,Unknown,,,,7950000,,,2026-02-18
BuyRentKenya,91f4c8999d,No title,Nairobi,Unknown,,,,85000000,,,2026-02-18
BuyRentKenya,91f4c8999d,No title,Nairobi,Unknown,,,,85000000,,,2026-02-18
BuyRentKenya,5ef79ec1eb,No title,Nairobi,Unknown,,,,12550000,,,2026-02-18
